Country,State,Year,Types Of Coal,Coal Consuming Sectors,Coal Consumed (UOM:t(Tonnes))
India,Jharkhand,"Financial Year (Apr - Mar), 2011",RAW COAL,CHEMICAL,0.024
India,Haryana,"Financial Year (Apr - Mar), 2017",RAW COAL,FERTILISERS,0.41
India,Haryana,"Financial Year (Apr - Mar), 2011",RAW COAL,POWER (CAPTIVE),0.06
India,Gujarat,"Financial Year (Apr - Mar), 2016",LIGNITE,OTHER,1.009
India,Assam,"Financial Year (Apr - Mar), 2014",RAW COAL,CEMENT,0.021
India,Bihar,"Financial Year (Apr - Mar), 2016",RAW COAL,POWER (UTILITY),6.36
India,Jharkhand,"Financial Year (Apr - Mar), 2011",RAW COAL,COLLIERY OWN - CONSUMPTION,0.044
India,Gujarat,"Financial Year (Apr - Mar), 2014",RAW COAL,OTHER,0.294
India,Chhattisgarh,"Financial Year (Apr - Mar), 2015",RAW COAL,STEEL (BOILERS),0.366
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,CEMENT,0.383
India,Haryana,"Financial Year (Apr - Mar), 2011",RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.035
India,Gujarat,"Financial Year (Apr - Mar), 2012",RAW COAL,TEXTILES & RAYONS,0.03
India,Chhattisgarh,"Financial Year (Apr - Mar), 2012",RAW COAL,CHEMICAL,0.002
India,Gujarat,"Financial Year (Apr - Mar), 2019",LIGNITE,SPONGE IRON,0.048
India,Delhi,"Financial Year (Apr - Mar), 2014",WASHED COAL,POWER (UTILITY),0.985
India,Gujarat,"Financial Year (Apr - Mar), 2014",RAW COAL,FERTILISERS,0.596
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",RAW COAL,POWER (UTILITY),31.604
India,Jharkhand,"Financial Year (Apr - Mar), 2011",RAW COAL,CEMENT,0.075
India,Jharkhand,"Financial Year (Apr - Mar), 2011",RAW COAL,POWER (UTILITY),14.456
India,Chhattisgarh,"Financial Year (Apr - Mar), 2015",RAW COAL,POWER (CAPTIVE),8.686
India,Gujarat,"Financial Year (Apr - Mar), 2012",RAW COAL,POWER (CAPTIVE),0.453
India,Assam,"Financial Year (Apr - Mar), 2018",RAW COAL,POWER (UTILITY),0.823
India,Haryana,"Financial Year (Apr - Mar), 2016",WASHED COAL,POWER (UTILITY),0.219
India,Gujarat,"Financial Year (Apr - Mar), 2019",RAW COAL,TEXTILES & RAYONS,0.026
India,Gujarat,"Financial Year (Apr - Mar), 2018",LIGNITE,CEMENT,0.602
India,Bihar,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,0.579
India,Gujarat,"Financial Year (Apr - Mar), 2017",RAW COAL,POWER (UTILITY),12.763
India,Gujarat,"Financial Year (Apr - Mar), 2015",RAW COAL,POWER (CAPTIVE),0.485
India,Gujarat,"Financial Year (Apr - Mar), 2013",LIGNITE,PULP & PAPER,0.667
India,Assam,"Financial Year (Apr - Mar), 2017",RAW COAL,CEMENT,0.019
India,Chhattisgarh,"Financial Year (Apr - Mar), 2017",RAW COAL,OTHER,6.408
India,Delhi,"Financial Year (Apr - Mar), 2014",RAW COAL,OTHER,0.113
India,Bihar,"Financial Year (Apr - Mar), 2016",MIDDLINGS,POWER (UTILITY),0.008
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,SPONGE IRON,0.035
India,Bihar,"Financial Year (Apr - Mar), 2017",RAW COAL,OTHER,0.524
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2014",WASHED COAL,POWER (CAPTIVE),0.252896169
India,Bihar,"Financial Year (Apr - Mar), 2011",RAW COAL,METALLURGICAL USE- COKERIES,0.035
India,Chhattisgarh,"Financial Year (Apr - Mar), 2012",RAW COAL,OTHER,9.552
India,Chhattisgarh,"Financial Year (Apr - Mar), 2016",RAW COAL,OTHER,0.196
India,Assam,"Financial Year (Apr - Mar), 2017",RAW COAL,POWER (UTILITY),0.676
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2016",RAW COAL,POWER (UTILITY),29.155
India,Haryana,"Financial Year (Apr - Mar), 2020",RAW COAL,FERTILISERS,0.368
India,Chhattisgarh,"Financial Year (Apr - Mar), 2016",MIDDLINGS,STEEL (BOILERS),0.009
India,Chhattisgarh,"Financial Year (Apr - Mar), 2012",RAW COAL,STEEL (BOILERS),0.417
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (CAPTIVE),2.199
India,Gujarat,"Financial Year (Apr - Mar), 2018",RAW COAL,FERTILISERS,0.548
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",RAW COAL,SPONGE IRON,0.265
India,Chhattisgarh,"Financial Year (Apr - Mar), 2017",MIDDLINGS,POWER (CAPTIVE),0.001
India,Delhi,"Financial Year (Apr - Mar), 2015",RAW COAL,PULP & PAPER,0.034
India,Jharkhand,"Financial Year (Apr - Mar), 2011",MIDDLINGS,OTHER,0.118
India,Gujarat,"Financial Year (Apr - Mar), 2016",LIGNITE,CHEMICAL,0.227
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",RAW COAL,OTHER,0.772
India,Gujarat,"Financial Year (Apr - Mar), 2019",RAW COAL,PULP & PAPER,0.04
India,Bihar,"Financial Year (Apr - Mar), 2015",RAW COAL,METALLURGICAL USE- COKERIES,0.014
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,5.194
India,Gujarat,"Financial Year (Apr - Mar), 2018",RAW COAL,POWER (CAPTIVE),0.415
India,Chhattisgarh,"Financial Year (Apr - Mar), 2012",RAW COAL,POWER (UTILITY),34.365
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.214
India,Chhattisgarh,"Financial Year (Apr - Mar), 2016",MIDDLINGS,POWER (CAPTIVE),0.02
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.00981013
India,Chhattisgarh,"Financial Year (Apr - Mar), 2014",RAW COAL,CEMENT,1.418
India,Jharkhand,"Financial Year (Apr - Mar), 2011",RAW COAL,OTHER,4.384
India,Gujarat,"Financial Year (Apr - Mar), 2017",RAW COAL,OTHER,1.017
India,Haryana,"Financial Year (Apr - Mar), 2018",RAW COAL,POWER (UTILITY),14.509
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012",RAW COAL,CEMENT,2.501736026
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2017",RAW COAL,CEMENT,0.008829117
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",RAW COAL,CHEMICAL,0.072
India,Gujarat,"Financial Year (Apr - Mar), 2012",RAW COAL,CEMENT,0.104
India,Delhi,"Financial Year (Apr - Mar), 2013",MIDDLINGS,POWER (UTILITY),0.004
India,Gujarat,"Financial Year (Apr - Mar), 2013",RAW COAL,OTHER,0.283
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2015",RAW COAL,OTHER,0.001
India,Delhi,"Financial Year (Apr - Mar), 2015",MIDDLINGS,POWER (UTILITY),0.004
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (UTILITY),67.847
India,Assam,"Financial Year (Apr - Mar), 2013",RAW COAL,PULP & PAPER,0.049
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),34.288
India,Bihar,"Financial Year (Apr - Mar), 2014",RAW COAL,POWER (UTILITY),2.657
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2015",RAW COAL,SPONGE IRON,0.122
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013",RAW COAL,CEMENT,2.45393986
India,Gujarat,"Financial Year (Apr - Mar), 2011",LIGNITE,TEXTILES & RAYONS,1.028
India,Delhi,"Financial Year (Apr - Mar), 2016",RAW COAL,PULP & PAPER,0.029
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2016",RAW COAL,OTHER,0.675
India,Gujarat,"Financial Year (Apr - Mar), 2011",RAW COAL,OTHER,0.271
India,Haryana,"Financial Year (Apr - Mar), 2018",WASHED COAL,POWER (UTILITY),0.412
India,Delhi,"Financial Year (Apr - Mar), 2011",RAW COAL,POWER (UTILITY),1.34
India,Gujarat,"Financial Year (Apr - Mar), 2012",RAW COAL,PULP & PAPER,0.005
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2011",RAW COAL,STEEL (BOILERS),0.073206786
India,Gujarat,"Financial Year (Apr - Mar), 2015",RAW COAL,OTHER,0.196
India,Delhi,"Financial Year (Apr - Mar), 2019",WASHED COAL,POWER (UTILITY),0.33
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2015",RAW COAL,TEXTILES & RAYONS,0.001
India,Gujarat,"Financial Year (Apr - Mar), 2013",LIGNITE,BRICKS,0.857
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.094
India,Chhattisgarh,"Financial Year (Apr - Mar), 2014",RAW COAL,SPONGE IRON,5.934
India,Bihar,"Financial Year (Apr - Mar), 2014",RAW COAL,METALLURGICAL USE- COKERIES,0.011
India,Gujarat,"Financial Year (Apr - Mar), 2011",LIGNITE,BRICKS,0.529
India,Gujarat,"Financial Year (Apr - Mar), 2018",RAW COAL,CEMENT,0.004
India,Haryana,"Financial Year (Apr - Mar), 2016",RAW COAL,POWER (UTILITY),13.311
India,Haryana,"Financial Year (Apr - Mar), 2011",RAW COAL,FERTILISERS,0.622
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,CEMENT,0.144
India,Gujarat,"Financial Year (Apr - Mar), 2012",LIGNITE,PULP & PAPER,0.579
India,Jharkhand,"Financial Year (Apr - Mar), 2011",MIDDLINGS,POWER (UTILITY),2.057
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2014",RAW COAL,PULP & PAPER,0.596544552
India,Chhattisgarh,"Financial Year (Apr - Mar), 2017",WASHED COAL,POWER (UTILITY),0.044
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013",RAW COAL,OTHER,1.704326574
India,Jharkhand,"Financial Year (Apr - Mar), 2011",RAW COAL,METALLURGICAL USE- COKERIES,1.2
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2016",RAW COAL,CEMENT,0.031
India,Delhi,"Financial Year (Apr - Mar), 2015",RAW COAL,CEMENT,0.03
India,Chhattisgarh,"Financial Year (Apr - Mar), 2017",RAW COAL,POWER (CAPTIVE),2.627
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",RAW COAL,OTHER,6.755
India,Bihar,"Financial Year (Apr - Mar), 2012",RAW COAL,POWER (UTILITY),10.126
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,3.821
India,Gujarat,"Financial Year (Apr - Mar), 2014",LIGNITE,CEMENT,0.32
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,FERTILISERS,0.002
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",RAW COAL,CHEMICAL,0.045
India,Chhattisgarh,"Financial Year (Apr - Mar), 2015",RAW COAL,POWER (UTILITY),42.434
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2014",RAW COAL,POWER (UTILITY),27.25470484
India,Gujarat,"Financial Year (Apr - Mar), 2019",LIGNITE,POWER (CAPTIVE),7.294
India,Assam,"Financial Year (Apr - Mar), 2016",RAW COAL,POWER (UTILITY),0.114
India,Gujarat,"Financial Year (Apr - Mar), 2017",LIGNITE,POWER (CAPTIVE),6.89
India,Bihar,"Financial Year (Apr - Mar), 2016",RAW COAL,CHEMICAL,0.006
India,Gujarat,"Financial Year (Apr - Mar), 2015",LIGNITE,PULP & PAPER,0.557
India,Gujarat,"Financial Year (Apr - Mar), 2014",LIGNITE,FERTILISERS,0.003
India,Bihar,"Financial Year (Apr - Mar), 2016",RAW COAL,OTHER,0.617
India,Gujarat,"Financial Year (Apr - Mar), 2011",RAW COAL,FERTILISERS,0.375
India,Chhattisgarh,"Financial Year (Apr - Mar), 2014",RAW COAL,PULP & PAPER,0.021
India,Gujarat,"Financial Year (Apr - Mar), 2015",RAW COAL,CEMENT,0.012
India,Haryana,"Financial Year (Apr - Mar), 2017",RAW COAL,OTHER,0.251
India,Chhattisgarh,"Financial Year (Apr - Mar), 2013",WASHED COAL,POWER (CAPTIVE),0.173
India,Gujarat,"Financial Year (Apr - Mar), 2015",LIGNITE,OTHER,0.882
India,Gujarat,"Financial Year (Apr - Mar), 2014",LIGNITE,PULP & PAPER,1.215
India,Chhattisgarh,"Financial Year (Apr - Mar), 2013",RAW COAL,SPONGE IRON,6.722
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012",RAW COAL,CHEMICAL,0.131288203
India,Chhattisgarh,"Financial Year (Apr - Mar), 2013",WASHED COAL,SPONGE IRON,2.259
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",WASHED COAL,POWER (UTILITY),0.093
India,Chhattisgarh,"Financial Year (Apr - Mar), 2016",RAW COAL,CEMENT,1.606
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.007848104
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,PULP & PAPER,0.438
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,POWER (CAPTIVE),6.087
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,OTHER,2.794
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",WASHED COAL,METALLURGICAL USE- COKERIES,0.133
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2013",RAW COAL,OTHER,0.001
India,Delhi,"Financial Year (Apr - Mar), 2018",RAW COAL,POWER (UTILITY),0.211
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (UTILITY),32.156
India,Assam,"Financial Year (Apr - Mar), 2011",RAW COAL,OTHER,0.018
India,Assam,"Financial Year (Apr - Mar), 2015",RAW COAL,OTHER,0.109
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",WASHED COAL,METALLURGICAL USE- DIRECT FEED,0.166
India,Gujarat,"Financial Year (Apr - Mar), 2016",RAW COAL,TEXTILES & RAYONS,0.028
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,CHEMICAL,0.096
India,Goa,"Financial Year (Apr - Mar), 2012",RAW COAL,OTHER,0.006
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2011",WASHED COAL,CEMENT,0.12463304
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2012",RAW COAL,OTHER,0.044
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",RAW COAL,SPONGE IRON,3.533
India,Chhattisgarh,"Financial Year (Apr - Mar), 2013",WASHED COAL,POWER (UTILITY),0.376
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",RAW COAL,POWER (CAPTIVE),1.696
India,Delhi,"Financial Year (Apr - Mar), 2015",RAW COAL,OTHER,0.083
India,Haryana,"Financial Year (Apr - Mar), 2014",RAW COAL,FERTILISERS,0.439
India,Haryana,"Financial Year (Apr - Mar), 2013",RAW COAL,POWER (CAPTIVE),0.004
India,Gujarat,"Financial Year (Apr - Mar), 2014",LIGNITE,POWER (UTILITY),6.264
India,Gujarat,"Financial Year (Apr - Mar), 2016",LIGNITE,STEEL (BOILERS),0.114
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",RAW COAL,PULP & PAPER,0.088
India,Chhattisgarh,"Financial Year (Apr - Mar), 2011",RAW COAL,OTHER,7.509
India,Bihar,"Financial Year (Apr - Mar), 2011",RAW COAL,CEMENT,0.049
India,Assam,"Financial Year (Apr - Mar), 2019",WASHED COAL,POWER (UTILITY),0.007
India,Gujarat,"Financial Year (Apr - Mar), 2014",RAW COAL,CHEMICAL,0.052
India,Assam,"Financial Year (Apr - Mar), 2015",RAW COAL,PULP & PAPER,0.003
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2018",RAW COAL,CEMENT,0.026487352
India,Haryana,"Financial Year (Apr - Mar), 2015",RAW COAL,POWER (UTILITY),13.944
India,Haryana,"Financial Year (Apr - Mar), 2013",RAW COAL,POWER (UTILITY),15.633
India,Delhi,"Financial Year (Apr - Mar), 2017",RAW COAL,POWER (UTILITY),0.008
India,Delhi,"Financial Year (Apr - Mar), 2015",RAW COAL,POWER (UTILITY),4.235
India,Bihar,"Financial Year (Apr - Mar), 2018",RAW COAL,OTHER,0.669
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2014",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.004235103
India,Delhi,"Financial Year (Apr - Mar), 2018",WASHED COAL,POWER (UTILITY),0.831
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2016",RAW COAL,CEMENT,0.471
India,Delhi,"Financial Year (Apr - Mar), 2012",RAW COAL,POWER (UTILITY),3.561
India,Assam,"Financial Year (Apr - Mar), 2015",RAW COAL,CEMENT,0.018
India,Chhattisgarh,"Financial Year (Apr - Mar), 2013",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.53
India,Delhi,"Financial Year (Apr - Mar), 2016",RAW COAL,POWER (UTILITY),2.143
India,Assam,"Financial Year (Apr - Mar), 2011",RAW COAL,PULP & PAPER,0.095
India,Chhattisgarh,"Financial Year (Apr - Mar), 2014",WASHED COAL,POWER (CAPTIVE),1.642
India,Chhattisgarh,"Financial Year (Apr - Mar), 2011",WASHED COAL,METALLURGICAL USE- COKERIES,0.946
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",RAW COAL,POWER (CAPTIVE),2.033
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2014",RAW COAL,SPONGE IRON,0.264391449
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013",RAW COAL,SPONGE IRON,0.369664017
India,Bihar,"Financial Year (Apr - Mar), 2011",RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.002
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2011",RAW COAL,POWER (CAPTIVE),2.034664633
India,Chhattisgarh,"Financial Year (Apr - Mar), 2013",WASHED COAL,METALLURGICAL USE- COKERIES,0.371
India,Delhi,"Financial Year (Apr - Mar), 2013",RAW COAL,POWER (UTILITY),3.66
India,Delhi,"Financial Year (Apr - Mar), 2016",RAW COAL,POWER (CAPTIVE),0.064
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",WASHED COAL,METALLURGICAL USE- COKERIES,0.022
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",RAW COAL,COLLIERY OWN - CONSUMPTION,0.005
India,Gujarat,"Financial Year (Apr - Mar), 2018",LIGNITE,OTHER,1.523
India,Gujarat,"Financial Year (Apr - Mar), 2011",RAW COAL,POWER (CAPTIVE),0.394
India,Gujarat,"Financial Year (Apr - Mar), 2012",RAW COAL,FERTILISERS,0.395
India,Delhi,"Financial Year (Apr - Mar), 2015",WASHED COAL,POWER (UTILITY),0.822
India,Assam,"Financial Year (Apr - Mar), 2011",RAW COAL,CEMENT,0.029
India,Gujarat,"Financial Year (Apr - Mar), 2012",LIGNITE,CEMENT,0.34
India,Chhattisgarh,"Financial Year (Apr - Mar), 2015",WASHED COAL,POWER (CAPTIVE),1.3
India,Gujarat,"Financial Year (Apr - Mar), 2013",LIGNITE,CEMENT,0.254
India,Bihar,"Financial Year (Apr - Mar), 2015",RAW COAL,CHEMICAL,0.009
India,Gujarat,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (UTILITY),20.2
India,Gujarat,"Financial Year (Apr - Mar), 2013",LIGNITE,FERTILISERS,0.001
India,Delhi,"Financial Year (Apr - Mar), 2016",RAW COAL,CEMENT,0.03
India,Chhattisgarh,"Financial Year (Apr - Mar), 2011",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.16
India,Gujarat,"Financial Year (Apr - Mar), 2018",RAW COAL,OTHER,0.063
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",MIDDLINGS,STEEL (BOILERS),0.018
India,Bihar,"Financial Year (Apr - Mar), 2011",RAW COAL,CHEMICAL,0.013
India,Haryana,"Financial Year (Apr - Mar), 2014",RAW COAL,OTHER,0.065
India,Gujarat,"Financial Year (Apr - Mar), 2018",RAW COAL,PULP & PAPER,0.049
India,Gujarat,"Financial Year (Apr - Mar), 2018",LIGNITE,SPONGE IRON,0.093
India,Gujarat,"Financial Year (Apr - Mar), 2015",LIGNITE,TEXTILES & RAYONS,2.841
India,Gujarat,"Financial Year (Apr - Mar), 2011",RAW COAL,CHEMICAL,0.063
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2011",RAW COAL,OTHER,0.108
India,Bihar,"Financial Year (Apr - Mar), 2015",RAW COAL,POWER (UTILITY),3.046
India,Haryana,"Financial Year (Apr - Mar), 2014",WASHED COAL,POWER (UTILITY),0.079
India,Chhattisgarh,"Financial Year (Apr - Mar), 2014",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.107
India,Chhattisgarh,"Financial Year (Apr - Mar), 2017",RAW COAL,POWER (UTILITY),58.115
India,Chhattisgarh,"Financial Year (Apr - Mar), 2015",RAW COAL,OTHER,0.138
India,Chhattisgarh,"Financial Year (Apr - Mar), 2011",RAW COAL,STEEL (BOILERS),0.592
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",RAW COAL,SPONGE IRON,0.069
India,Chhattisgarh,"Financial Year (Apr - Mar), 2013",RAW COAL,OTHER,10.59
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,CEMENT,0.022
India,Gujarat,"Financial Year (Apr - Mar), 2012",LIGNITE,OTHER,2.073
India,Gujarat,"Financial Year (Apr - Mar), 2018",LIGNITE,PULP & PAPER,0.704
India,Assam,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (UTILITY),1.467
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2011",RAW COAL,BRICKS,0.066551623
India,Bihar,"Financial Year (Apr - Mar), 2018",RAW COAL,METALLURGICAL USE- COKERIES,0.005
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2014",RAW COAL,CEMENT,0.281
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2013",RAW COAL,CEMENT,0.433
India,Haryana,"Financial Year (Apr - Mar), 2018",RAW COAL,OTHER,0.012
India,Assam,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (CAPTIVE),0.01
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2014",RAW COAL,PULP & PAPER,0.008
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2014",RAW COAL,OTHER,0.012
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2012",RAW COAL,POWER (CAPTIVE),0.093
India,Bihar,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),21.183
India,Assam,"Financial Year (Apr - Mar), 2019",RAW COAL,CEMENT,0.032
India,Gujarat,"Financial Year (Apr - Mar), 2019",LIGNITE,PULP & PAPER,0.463
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",RAW COAL,OTHER,0.829
India,Jharkhand,"Financial Year (Apr - Mar), 2011",MIDDLINGS,METALLURGICAL USE- COKERIES,0.543
India,Bihar,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.641
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2015",RAW COAL,PULP & PAPER,0.009
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,2.252
India,Assam,"Financial Year (Apr - Mar), 2016",RAW COAL,CEMENT,0.022
India,Assam,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,0.092
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",WASHED COAL,METALLURGICAL USE- DIRECT FEED,0.372
India,Gujarat,"Financial Year (Apr - Mar), 2014",LIGNITE,OTHER,2.226
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.003
India,Haryana,"Financial Year (Apr - Mar), 2012",RAW COAL,POWER (UTILITY),16.266
India,Bihar,"Financial Year (Apr - Mar), 2014",RAW COAL,OTHER,0.665
India,Gujarat,"Financial Year (Apr - Mar), 2012",LIGNITE,TEXTILES & RAYONS,3.536
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,SPONGE IRON,0.062
India,Delhi,"Financial Year (Apr - Mar), 2016",WASHED COAL,POWER (UTILITY),0.042
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,BRICKS,0.454
India,Delhi,"Financial Year (Apr - Mar), 2019",MIDDLINGS,POWER (UTILITY),0.055
India,Gujarat,"Financial Year (Apr - Mar), 2018",LIGNITE,TEXTILES & RAYONS,2.452
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",WASHED COAL,POWER (UTILITY),0.016
India,Chhattisgarh,"Financial Year (Apr - Mar), 2015",RAW COAL,SPONGE IRON,5.154
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",RAW COAL,POWER (UTILITY),32.195
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",RAW COAL,CEMENT,0.252
India,Gujarat,"Financial Year (Apr - Mar), 2015",RAW COAL,FERTILISERS,0.789
India,Bihar,"Financial Year (Apr - Mar), 2019",MIDDLINGS,POWER (UTILITY),0.005
India,Bihar,"Financial Year (Apr - Mar), 2017",WASHED COAL,POWER (UTILITY),0.114
India,Gujarat,"Financial Year (Apr - Mar), 2011",RAW COAL,TEXTILES & RAYONS,0.023
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013",RAW COAL,POWER (UTILITY),28.92636061
India,Chhattisgarh,"Financial Year (Apr - Mar), 2016",RAW COAL,POWER (CAPTIVE),2.618
India,Gujarat,"Financial Year (Apr - Mar), 2013",LIGNITE,POWER (UTILITY),7.207
India,Gujarat,"Financial Year (Apr - Mar), 2014",LIGNITE,TEXTILES & RAYONS,0.664
India,Chhattisgarh,"Financial Year (Apr - Mar), 2012",WASHED COAL,SPONGE IRON,2.213
India,Goa,"Financial Year (Apr - Mar), 2014",RAW COAL,SPONGE IRON,0.037
India,Gujarat,"Financial Year (Apr - Mar), 2013",RAW COAL,PULP & PAPER,0.004
India,Chhattisgarh,"Financial Year (Apr - Mar), 2016",RAW COAL,PULP & PAPER,0.014
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2016",WASHED COAL,METALLURGICAL USE- COKERIES,0.408
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013",RAW COAL,PULP & PAPER,0.522732751
India,Gujarat,"Financial Year (Apr - Mar), 2011",LIGNITE,OTHER,1.965
India,Bihar,"Financial Year (Apr - Mar), 2020",WASHED COAL,POWER (CAPTIVE),0.539
India,Bihar,"Financial Year (Apr - Mar), 2016",MIDDLINGS,BRICKS,0.001
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2012",RAW COAL,CEMENT,0.501
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013",RAW COAL,TEXTILES & RAYONS,0.010285251
India,Chhattisgarh,"Financial Year (Apr - Mar), 2014",RAW COAL,OTHER,0.249
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2016",RAW COAL,CEMENT,0.074
India,Chhattisgarh,"Financial Year (Apr - Mar), 2013",RAW COAL,CEMENT,1.468
India,Chhattisgarh,"Financial Year (Apr - Mar), 2013",MIDDLINGS,POWER (CAPTIVE),4.816
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2016",RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.125
India,Delhi,"Financial Year (Apr - Mar), 2013",RAW COAL,TEXTILES & RAYONS,0.002
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2017",RAW COAL,OTHER,0.001
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",WASHED COAL,POWER (UTILITY),0.027
